,ID,query,context
58,q59,"Wie erkläre ich meinem Nachbarn auf Deutsch, dass wir den Müll richtig trennen müssen?",situative
59,q60,كيف أشرح لمعلمي الألمانية أنني بحاجة إلى المزيد من المساعدة في فهم القواعد اللغوية؟,situative
60,q61,"Как обсудить на немецком с соседом, что его домашнее животное мешает моему сну по ночам?",situative
61,q62,"Wie kann ich meinem Arzt auf Deutsch erklären, dass ich seit einer Woche starke Kopfschmerzen habe?",situative
62,q63,كيف أسأل في السوبرماركت إذا كان لديهم منتجات خالية من الجلوتين؟,situative
63,q64,Çocuğumun okulda zorbalığa uğradığını öğretmene nasıl anlatabilirim? Almanca birkaç cümle örneği verir misiniz?,situative
64,q65,"Как на немецком языке попросить у страховой компании объяснить, почему мой случай не покрывается страховкой?",situative
65,q66,"Wie erkläre ich dem Elektriker auf Deutsch, dass der Strom in meiner Wohnung ständig ausfällt?",situative
66,q67,كيف أطلب من الجيران تخفيض مستوى الضوضاء لأن لدي طفل صغير ينام في الليل؟,situative
67,q68,Almanca olarak ev sahibine evdeki su sızıntısını nasıl bildirebilirim?,situative
68,q69,"Як пояснити на німецькій мові у відділі кадрів, що я потребую часткової зайнятості через сімейні обставини?",situative
69,q70,كيف أشرح للطبيب البيطري أن قطتي لا تأكل منذ يومين؟,situative
70,q71,"Wie kann ich meinen Kollegen auf Deutsch fragen, ob wir die Besprechung um eine Stunde verschieben können?",situative
71,q72,Как спросить на немецком языке в фитнес-центре о наличии занятий по йоге для начинающих?,situative
72,q73,Almanca olarak yeni taşındığım evdeki internet bağlantısı hakkında bilgi almak istiyorum. Nasıl sorabilirim?,situative
73,q74,"Как объяснить на немецком, что я хочу вернуть товар в магазин и получить деньги обратно?",situative
74,q75,"Як на німецькій мові обговорити з вчителем дитини, що він потребує додаткових занять з німецької мови?",situative
75,q76,"Wie erkläre ich dem Handwerker auf Deutsch, dass der Wasserhahn in der Küche nicht richtig funktioniert?",situative
76,q77,كيف أطلب من مدير المدرسة تقديم تقرير عن تقدم ابني الأكاديمي؟,situative
77,q78,"Как спросить на немецком языке в библиотеке, есть ли у них книги на русском языке?",situative
78,q79,"Як на німецькій мові пояснити в службі підтримки, що у мене виникли проблеми з підключенням до Інтернету?",situative
79,q80,كيف أطلب من ميكانيكي السيارة فحص الفرامل لأنني أشعر بأنها لا تعمل بشكل جيد؟,situative
80,q81,Almanca olarak bankada birikim hesabı açmak istediğimi nasıl söylerim?,situative
81,q82,"Как на немецком объяснить, что я хочу поменять тариф на мобильную связь на более выгодный?",situative
82,q83,"Wie erkläre ich der Kinderbetreuung auf Deutsch, dass mein Kind spezielle Bedürfnisse hat?",situative
83,q84,"Wie erkläre ich dem Vermieter auf Deutsch, dass ich die Wohnung renovieren möchte?",situative
84,q85,كيف أشرح في مقابلة عمل لماذا أرغب في العمل في هذه الشركة؟,situative
85,q86,Как на немецком языке обсудить с начальником возможность повышения зарплаты?,situative
86,q87,Як на німецькій мові попросити сусіда допомогти мені з ремонтом квартири?,situative
87,q88,Как на немецком языке рассказать на собеседовании о своих сильных и слабых сторонах?,situative
88,q89,Yeni bir iş buldum ve Almanca olarak işverenime önceki iş yerimden neden ayrıldığımı nasıl açıklarım?,situative
89,q90,كيف أسأل في المكتبة عن إمكانية استعارة كتاب لفترة أطول من المعتاد؟,situative
90,q91,Yeni taşındığım apartmanda yöneticiden otopark hakkında bilgi almak istiyorum. Bunu Almanca nasıl sorarım?,situative
