,ID,query,context
143,q144,"كيف أستخدم ""bevor"" و""nachdem"" في جملتين مختلفتين؟",grammar
144,q145,"""In"" ve ""auf"" edatlarının kullanımı arasındaki fark nedir?",grammar
145,q146,Как используются модальные глаголы в Konjunktiv II?,grammar
146,q147,"Як будувати заперечні речення з ""weder ... noch""?",grammar
147,q148,Какие формы прилагательных существуют в сравнительной степени?,grammar
148,q149,"""Mit"" ve ""bei"" edatlarının doğru kullanımı nasıldır?",grammar
149,q150,"كيف أستخدم ""obwohl"" في جملة؟",grammar
150,q151,"Когда используется союз ""falls""?",grammar
151,q152,"كيف أستخدم ""ob"" في جملة استفهامية غير مباشرة؟",grammar
152,q153,"В чем разница между ""gegen"" и ""für""?",grammar
153,q154,Wie bilde ich das Perfekt von unregelmäßigen Verben?,grammar
154,q155,"كيف أستخدم ""damit"" في جملة؟",grammar
155,q156,"Как использовать придаточные предложения с ""weil"" и ""obwohl""?",grammar
156,q157,"Wie unterscheide ich ""seitdem"" und ""seit""?",grammar
157,q158,"كيف أستخدم ""um ... zu"" لتكوين جملة؟",grammar
158,q159,"В чем разница между ""während"" и ""bis""?",grammar
159,q160,"Як будувати складнопідрядні речення з ""dass""?",grammar
160,q161,"Wie bilde ich eine Bedingung mit ""wenn""?",grammar
161,q162,Как используются пассивные конструкции в немецком языке?,grammar
162,q163,"""Von"" ve ""aus"" edatlarının farkı nedir?",grammar
163,q164,"""Neben"" ve ""zwischen"" edatlarının kullanımı nasıldır?",grammar
164,q165,"Як будувати речення з ""damit"" для вираження мети?",grammar
